epoch,train_loss,train_acc,test_acc,test_loss
1,2.289711,15.95,33.68,2.094139
2,2.058303,32.63,59.19,1.699987
3,1.733453,46.68,76.48,1.079987
4,1.369250,56.44,85.79,0.614531
5,1.138160,63.62,89.55,0.438127
6,0.991519,68.75,91.60,0.337653
7,0.867996,72.60,93.23,0.274187
8,0.753139,76.29,94.48,0.211798
9,0.662080,79.31,95.27,0.172964
10,0.585340,81.61,95.78,0.150687
11,0.532137,83.35,96.36,0.126466
12,0.484569,84.91,96.51,0.115644
13,0.462060,85.70,96.72,0.110237
14,0.433837,86.53,97.15,0.097264
15,0.412417,87.17,97.16,0.095266
16,0.390535,87.98,97.32,0.087472
17,0.373519,88.41,97.28,0.089753
18,0.363220,88.59,97.70,0.077428
19,0.354353,88.97,97.77,0.072960
20,0.343216,89.29,97.73,0.071724
21,0.336245,89.46,97.95,0.070657
22,0.325954,90.07,97.92,0.067431
23,0.317379,89.99,98.02,0.063720
24,0.318500,90.11,97.99,0.060554
25,0.312263,90.23,98.09,0.060490
26,0.301784,90.54,98.12,0.059666
27,0.297191,90.76,98.19,0.054681
28,0.291053,90.93,98.17,0.054646
29,0.290801,90.88,98.23,0.052273
30,0.290493,90.88,98.32,0.053418
31,0.284277,91.17,98.21,0.054897
32,0.276036,91.44,98.36,0.051836
33,0.276472,91.36,98.38,0.048808
34,0.268733,91.61,98.36,0.049507
35,0.269353,91.51,98.36,0.049533
36,0.268373,91.58,98.37,0.047705
37,0.264234,91.90,98.41,0.047664
38,0.265587,91.80,98.45,0.046821
39,0.262816,91.84,98.39,0.047901
40,0.261563,91.85,98.45,0.047128
41,0.259303,91.96,98.38,0.046253
42,0.258522,91.96,98.50,0.045285
43,0.255192,92.04,98.50,0.045181
44,0.250921,92.27,98.44,0.045385
45,0.251874,92.30,98.43,0.044871
46,0.256035,92.02,98.39,0.045235
47,0.257119,92.04,98.43,0.045021
48,0.256803,91.99,98.46,0.044849
49,0.251530,92.01,98.47,0.044895
50,0.255813,92.09,98.47,0.044893
