epoch,train_loss,train_acc,test_acc,test_loss
1,1.683608,47.18,84.54,0.651454
2,1.049339,66.91,89.66,0.388849
3,0.887136,72.37,92.35,0.318166
4,0.777123,76.36,93.59,0.269045
5,0.682201,79.39,94.53,0.229018
6,0.598389,82.03,95.64,0.185647
7,0.541872,83.82,95.85,0.163821
8,0.490831,85.36,96.44,0.142840
9,0.452541,86.46,96.76,0.126325
10,0.419716,87.60,97.07,0.114415
11,0.391074,88.35,96.91,0.108757
12,0.365716,88.99,97.28,0.094380
13,0.349448,89.43,97.38,0.090089
14,0.333245,90.04,97.59,0.083066
15,0.313448,90.51,97.84,0.074263
16,0.298199,91.01,97.85,0.072736
17,0.292115,91.15,97.78,0.070607
18,0.280271,91.54,98.13,0.062898
19,0.266963,92.01,98.07,0.060683
20,0.256944,92.08,98.39,0.056077
21,0.249989,92.36,98.39,0.055711
22,0.242763,92.48,98.44,0.050987
23,0.233490,92.89,98.55,0.046637
24,0.223075,93.18,98.41,0.048428
25,0.215319,93.32,98.62,0.042540
26,0.209665,93.51,98.63,0.042023
27,0.206602,93.65,98.36,0.045937
28,0.203329,93.92,98.62,0.043059
29,0.198322,93.86,98.93,0.037812
30,0.190046,94.13,98.66,0.038994
31,0.181543,94.44,98.61,0.041173
32,0.179771,94.37,98.64,0.036515
33,0.173327,94.69,98.95,0.033072
34,0.170514,94.56,98.77,0.031766
35,0.164380,94.84,98.97,0.030661
36,0.165020,94.84,98.85,0.032149
37,0.160878,94.93,98.99,0.031865
38,0.158963,95.00,98.92,0.032639
39,0.154973,95.17,99.00,0.027907
40,0.154615,95.17,98.80,0.032692
41,0.152393,95.30,99.02,0.029544
42,0.148593,95.31,98.86,0.034270
43,0.149053,95.26,99.12,0.026580
44,0.146051,95.38,99.05,0.025531
45,0.141878,95.45,99.00,0.028441
46,0.140114,95.57,99.11,0.026259
47,0.137515,95.61,98.98,0.029148
48,0.135971,95.68,98.94,0.031865
49,0.135455,95.69,99.16,0.022893
50,0.132410,95.88,99.08,0.027214
51,0.132779,95.80,99.13,0.025955
52,0.124505,96.14,99.08,0.025119
53,0.124655,96.11,99.23,0.023118
54,0.126078,96.00,99.23,0.021373
55,0.123265,96.16,99.12,0.024843
56,0.125760,96.16,99.24,0.022883
57,0.126541,95.93,99.14,0.028048
58,0.125653,95.99,99.29,0.020927
59,0.117363,96.29,99.18,0.022712
60,0.119152,96.20,99.21,0.023813
61,0.125128,96.04,99.32,0.021742
62,0.119446,96.29,99.28,0.023001
63,0.118029,96.24,99.27,0.021096
64,0.116546,96.31,99.17,0.022091
65,0.113475,96.43,99.23,0.023071
66,0.116127,96.28,99.37,0.019999
67,0.111975,96.46,99.19,0.023606
68,0.109271,96.50,99.22,0.025724
69,0.114403,96.32,99.10,0.025987
70,0.113328,96.41,99.25,0.023960
71,0.110627,96.53,99.35,0.019098
72,0.112485,96.41,99.26,0.022571
73,0.111005,96.42,99.27,0.021193
